"집계일자","영업소코드","입출구구분코드","TCS하이패스구분코드","1종교통량","2종교통량","3종교통량","4종교통량","5종교통량","6종교통량","총교통량",
"20230205","101 ","0","1","7521","43","190","104","17","43","7918",
"20230205","101 ","0","2","73385","794","5812","823","208","2781","83803",
"20230205","101 ","1","1","6619","89","110","176","30","648","7672",
"20230205","101 ","1","2","69423","837","6129","1180","296","2550","80415",
"20230205","190 ","0","1","3735","47","159","139","9","37","4126",
"20230205","190 ","0","2","50677","756","1428","526","265","1899","55551",
"20230205","190 ","1","1","4726","51","89","120","17","469","5472",
"20230205","190 ","1","2","53204","519","1318","582","252","1845","57720",
"20230205","253 ","0","1","6581","60","161","91","20","50","6963",
"20230205","253 ","0","2","75441","641","506","450","406","3318","80762",
"20230205","253 ","1","1","6146","55","87","111","24","640","7063",
"20230205","253 ","1","2","66044","550","501","487","379","2790","70751",
"20230205","254 ","0","1","3471","23","92","77","33","27","3723",
"20230205","254 ","0","2","35429","368","476","289","261","1693","38516",
"20230205","254 ","1","1","3282","31","63","72","23","412","3883",
"20230205","254 ","1","2","34823","264","430","229","262","1634","37642",
"20230205","651 ","0","1","3329","19","24","19","8","13","3412",
"20230205","651 ","0","2","31523","156","774","159","67","1255","33934",
"20230205","651 ","1","1","3544","18","38","31","3","379","4013",
"20230205","651 ","1","2","37331","187","749","165","58","1336","39826",
"20230205","685 ","0","1","2575","20","99","65","45","25","2829",
"20230205","685 ","0","2","21028","192","707","248","469","924","23568",
"20230205","685 ","1","1","2370","20","62","71","20","254","2797",
"20230205","685 ","1","2","20172","182","673","256","407","788","22478",
