"집계일자","집계시","영업소코드","입출구구분코드","TCS하이패스구분코드","고속도로운영기관구분코드","영업형태구분코드","1종교통량","2종교통량","3종교통량","4종교통량","5종교통량","6종교통량","총교통량",
"20230206","00","011 ","0","1","00","1","88","2","0","4","1","8","103",
"20230206","00","011 ","0","2","00","1","635","16","10","10","22","41","734",
"20230206","00","011 ","1","1","00","1","108","1","4","5","2","15","135",
"20230206","00","011 ","1","2","00","1","854","25","10","8","25","67","989",
"20230206","00","012 ","0","2","00","1","7","0","0","0","0","0","7",
"20230206","00","012 ","1","2","00","1","1","0","0","0","0","0","1",
"20230206","00","013 ","0","1","00","1","2","0","0","1","0","0","3",
"20230206","00","013 ","0","2","00","1","6","1","0","0","1","0","8",
"20230206","00","013 ","1","1","00","1","2","0","1","1","0","0","4",
"20230206","00","013 ","1","2","00","1","13","1","0","0","1","0","15",
"20230206","00","025 ","0","1","08","1","11","0","0","0","0","0","11",
"20230206","00","025 ","0","2","08","1","11","0","0","0","0","0","11",
"20230206","00","025 ","1","1","08","1","5","0","0","0","0","0","5",
"20230206","00","025 ","1","2","08","1","6","0","1","0","0","0","7",
"20230206","00","029 ","0","1","00","1","13","1","5","2","1","2","24",
"20230206","00","029 ","0","2","00","1","68","2","3","1","14","3","91",
"20230206","00","029 ","1","1","00","1","17","1","2","5","0","2","27",
"20230206","00","029 ","1","2","00","1","106","2","0","2","6","6","122",
"20230206","00","053 ","0","1","00","1","45","2","0","0","0","3","50",
"20230206","00","053 ","0","2","00","1","249","4","6","4","6","11","280",
"20230206","00","053 ","1","1","00","1","44","1","1","2","0","8","56",
"20230206","00","053 ","1","2","00","1","268","7","2","1","4","17","299",
"20230206","00","056 ","0","2","00","1","1","0","0","0","0","0","1",
"20230206","00","056 ","1","2","00","1","1","0","0","0","0","0","1",
"20230206","00","057 ","0","2","00","1","3","0","1","0","0","0","4",
"20230206","00","057 ","1","2","00","1","4","0","0","0","0","0","4",
"20230206","00","058 ","0","2","00","1","0","0","1","0","0","0","1",
"20230206","00","058 ","1","2","00","1","1","1","1","0","0","0","3",
"20230206","00","061 ","0","1","00","1","64","3","2","5","0","11","85",
"20230206","00","061 ","0","2","00","1","678","52","20","53","28","30","861",
"20230206","00","061 ","1","1","00","1","42","5","5","5","2","5","64",
"20230206","00","061 ","1","2","00","1","530","46","11","34","30","25","676",
"20230206","00","062 ","0","1","00","1","72","6","3","5","0","12","98",
"20230206","00","062 ","0","2","00","1","761","52","20","29","29","34","925",
"20230206","00","062 ","1","1","00","1","101","4","1","5","0","11","122",
"20230206","00","062 ","1","2","00","1","907","36","21","41","36","49","1090",
"20230206","00","063 ","0","1","00","1","8","0","0","0","0","1","9",
"20230206","00","063 ","0","2","00","1","64","6","0","0","0","4","74",
"20230206","00","063 ","1","1","00","1","10","0","2","3","3","0","18",
"20230206","00","063 ","1","2","00","1","52","1","1","5","4","4","67",
"20230206","00","064 ","0","1","00","1","65","4","1","2","0","11","83",
"20230206","00","064 ","0","2","00","1","548","37","10","13","13","24","645",
"20230206","00","064 ","1","1","00","1","60","3","0","7","1","11","82",
"20230206","00","064 ","1","2","00","1","666","32","4","24","18","29","773",
"20230206","00","065 ","0","1","00","1","44","1","0","0","0","5","50",
"20230206","00","065 ","0","2","00","1","342","9","13","1","3","17","385",
"20230206","00","065 ","1","1","00","1","75","0","0","1","0","2","78",
"20230206","00","065 ","1","2","00","1","518","7","34","0","0","13","572",
"20230206","00","066 ","0","1","00","1","12","0","1","0","0","0","13",
"20230206","00","066 ","0","2","00","1","108","2","0","2","0","3","115",
"20230206","00","066 ","1","1","00","1","6","0","0","0","0","0","6",
"20230206","00","066 ","1","2","00","1","68","5","0","2","0","5","80",
"20230206","00","067 ","0","1","00","1","48","2","2","6","1","7","66",
"20230206","00","067 ","0","2","00","1","564","37","9","14","17","32","673",
"20230206","00","067 ","1","1","00","1","50","2","1","8","1","5","67",
"20230206","00","067 ","1","2","00","1","651","29","7","38","21","34","780",
"20230206","00","068 ","0","1","00","1","77","3","2","2","2","8","94",
"20230206","00","068 ","0","2","00","1","608","13","9","14","16","36","696",
"20230206","00","068 ","1","1","00","1","86","3","1","0","3","10","103",
"20230206","00","068 ","1","2","00","1","645","23","7","19","24","30","748",
"20230206","00","074 ","0","1","10","1","3","0","0","0","0","0","3",
"20230206","00","074 ","0","2","10","1","23","0","0","0","0","2","25",
"20230206","00","074 ","1","1","10","1","3","0","0","0","0","0","3",
"20230206","00","074 ","1","2","10","1","42","3","1","1","2","4","53",
"20230206","00","091 ","0","1","00","1","0","0","0","0","2","0","2",
"20230206","00","091 ","0","2","00","1","6","1","0","0","3","0","10",
"20230206","00","091 ","1","2","00","1","4","2","0","0","0","0","6",
"20230206","00","092 ","0","1","00","1","2","0","0","2","0","0","4",
"20230206","00","092 ","0","2","00","1","9","1","1","1","1","1","14",
"20230206","00","092 ","1","2","00","1","15","0","3","0","0","1","19",
"20230206","00","101 ","0","1","00","0","160","3","3","6","3","0","175",
"20230206","00","101 ","0","2","00","0","1574","81","121","57","20","71","1924",
"20230206","00","101 ","1","1","00","0","145","14","2","8","8","13","190",
"20230206","00","101 ","1","2","00","0","1436","119","92","49","49","49","1794",
"20230206","00","102 ","0","1","00","0","32","1","0","1","0","0","34",
"20230206","00","102 ","0","2","00","0","235","6","5","1","2","8","257",
"20230206","00","102 ","1","1","00","0","27","1","2","2","0","5","37",
"20230206","00","102 ","1","2","00","0","284","6","21","2","0","19","332",
"20230206","00","103 ","0","1","00","0","25","3","2","2","1","0","33",
"20230206","00","103 ","0","2","00","0","235","48","17","19","6","16","341",
"20230206","00","103 ","1","1","00","0","49","0","1","1","0","2","53",
